"user_id","subscribed","subscription_date","coupon","registration_date","last_edit_date","level","gender","age","study_degree","10k_AI_initiative","completed_courses_count","last_completion_date","last_completed_course_degree"
"1390","1",NULL,"free_initiative_ai","2023-07-24 22:56:41","2023-07-24 22:56:41","15","m","22","Student","1","3","2023-08-27 08:00:30.532208","100"
"1410","1",NULL,"free_initiative_ai","2023-07-25 13:54:49","2023-07-25 13:54:49","15","m","21","Student","1","2","2023-09-05 08:08:23.979773","95"
"1411","2","2023-08-23","10k_ai_initiative","2023-07-25 14:29:13","2023-07-25 14:29:13","7","m","20","Student","1","1","2023-08-03 15:29:51.593812","92"
"1417","2","2023-08-02","10k_ai_initiative","2023-07-25 16:56:49","2023-07-25 16:56:49","8","m","21","Student","1","1","2023-08-02 23:34:42.338878","89"
"1424","2","2023-08-17","10k_ai_initiative","2023-07-25 17:32:58","2023-07-25 17:32:58","11","f","21","Student","1","1","2023-08-01 20:52:19.339292","91"
"1426","2","2023-08-16","10k_ai_initiative","2023-07-25 17:44:45","2023-07-25 17:44:45","10","m","23","Graduated","1","1","2023-09-01 18:07:06.435133","92"
"1429","1","2023-07-25",NULL,"2023-07-25 17:57:00","2023-07-25 17:57:00","11","m","27","Graduated","1","1","2023-08-03 23:53:03.151189","95"
"1434","1",NULL,"free_initiative_ai","2023-07-25 18:38:21","2023-07-25 18:38:21","11","f","23","Graduated","1","3","2023-09-19 14:34:13.661592","97"
"1435","2","2023-10-22","10k_ai_initiative","2023-07-25 19:04:34","2023-07-25 19:04:34","16","m","22","Student","1","3","2023-09-20 04:28:11.570048","93"
"1439","2","2023-08-17","10k_ai_initiative","2023-07-25 20:03:41","2023-07-25 20:03:41","6","m","30","Graduated","1","1","2023-08-07 11:44:48.527788","87"
"1452","1","2023-07-25",NULL,"2023-07-25 22:41:21","2023-07-25 22:41:21","16","m","20","Student","1","3","2023-09-27 15:33:42.179084","97"
"1459","1",NULL,"free_initiative_ai","2023-07-26 00:32:05","2023-07-26 00:32:05","15","m","19","Student","1","3","2023-08-31 12:20:09.076182","98"
"1468","2","2023-08-16","10k_ai_initiative","2023-07-26 09:43:45","2023-07-26 09:43:45","5","m","19","Student","1","0",NULL,NULL
"1486","1",NULL,"free_initiative_ai","2023-07-26 09:51:36","2023-07-26 09:51:36","12","m","23","Graduated","1","2","2023-08-31 03:41:11.798036","96"
"1489","1",NULL,"free_initiative_ai","2023-07-26 09:53:19","2023-07-26 09:53:19","16","f","19","Student","1","2","2023-08-18 18:55:00.287200","97"
"1497","2","2023-08-26","10k_ai_initiative","2023-07-26 09:56:22","2023-07-26 09:56:22","11","m","20","Student","1","1","2023-08-01 17:49:50.634714","100"
"1516","2","2023-09-13","منحة_التوظيف","2023-07-26 10:00:27","2023-07-26 10:00:27","1","m","43","Graduated","1","0",NULL,NULL
"1524","1",NULL,"free_initiative_ai","2023-07-26 10:01:39","2023-07-26 10:01:39","20","f","40","Graduated","1","4","2023-10-23 16:31:38.015445","97"
"1527","2","2023-08-27","10k_ai_initiative","2023-07-26 10:02:09","2023-07-26 10:02:09","1","m","36","Graduated","1","0",NULL,NULL
"1528","2",NULL,"free_initiative_ai","2023-07-26 10:02:21","2023-07-26 10:02:21","16","m","21","Student","1","3","2023-10-23 10:18:00.620215","100"
"1566","1",NULL,"free_initiative_ai","2023-07-26 11:01:59","2023-07-26 11:01:59","15","m","21","Student","1","2","2023-08-31 12:47:44.097181","92"
"1582","2","2023-08-24","10k_ai_initiative","2023-07-26 11:04:49","2023-07-26 11:04:49","4","m","47","Graduated","1","1","2023-09-17 17:02:56.338734","94"
"1583","2","2023-08-14","10k_ai_initiative","2023-07-26 11:04:58","2023-07-26 11:04:58","20","m","20","Student","1","5","2023-10-23 16:47:42.902148","98"
"1590","1",NULL,"free_initiative_ai","2023-07-26 11:06:04","2023-07-26 11:06:04","13","m","22","Student","1","2","2023-08-20 22:44:52.015770","100"
"1594","1",NULL,"free_initiative_ai","2023-07-26 11:06:44","2023-07-26 11:06:44","18","m","24","Graduated","1","6","2023-10-29 10:55:00.554187","96"
"1600","2","2023-08-27","10k_ai_initiative","2023-07-26 11:34:11","2023-07-26 11:34:11","6","m","41","Graduated","1","1","2023-08-04 15:34:40.530633","89"
"1602","1",NULL,"free_initiative_ai","2023-07-26 12:43:01","2023-07-26 12:43:01","16","m","20","Student","1","4","2023-10-25 04:00:50.193210","95"
"1605","1",NULL,"free_initiative_ai","2023-07-26 13:12:42","2023-07-26 13:12:42","12","m","21","Student","1","2","2023-08-30 09:40:45.121703","92"
"1610","2","2023-09-25","92_sale","2023-07-26 13:13:30","2023-07-26 13:13:30","17","f","34","Graduated","1","3","2023-09-19 09:53:03.380458","98"
"1612","1",NULL,"free_initiative_ai","2023-07-26 13:13:50","2023-07-26 13:13:50","21","m","23","Student","1","7","2023-10-31 23:26:34.064299","100"
"1614","1",NULL,"free_initiative_ai","2023-07-26 13:14:14","2023-07-26 13:14:14","13","f","20","Student","1","2","2023-09-27 15:17:36.546542","100"
"1628","1",NULL,"free_initiative_ai","2023-07-26 13:16:26","2023-07-26 13:16:26","14","f","21","Student","1","2","2023-09-03 09:52:57.099483","94"
"1634","2","2023-08-17","10k_ai_initiative","2023-07-26 13:17:09","2023-07-26 13:17:09","19","m","45","Graduated","1","5","2023-10-25 03:57:59.213363","100"
"1648","1",NULL,"free_initiative_ai","2023-07-26 13:19:57","2023-07-26 13:19:57","17","m","25","Graduated","1","4","2023-10-25 19:11:29.596123","98"
"1649","2","2023-07-28","10k_ai_initiative","2023-07-26 13:20:08","2023-07-26 13:20:08","4","m","30","Graduated","1","1","2023-08-01 17:41:39.270841","88"
"1654","2","2023-07-30","10k_ai_initiative","2023-07-26 13:21:29","2023-07-26 13:21:29","8","m","40","Graduated","1","1","2023-08-09 08:50:31.877247","94"
"1679","1",NULL,"free_initiative_ai","2023-07-26 13:26:36","2023-07-26 13:26:36","16","f","22","Student","1","4","2023-10-24 21:45:09.803608","100"
"1695","2","2023-08-21","10k_ai_initiative","2023-07-26 13:29:51","2023-07-26 13:29:51","10","f","42","Graduated","1","1","2023-08-04 07:03:44.515144","95"
"1713","2","2023-08-26","10k_ai_initiative","2023-07-26 13:33:39","2023-07-26 13:33:39","11","f","22","Graduated","1","1","2023-08-04 17:53:54.068359","91"
"1735","2","2023-08-04","10k_ai_initiative","2023-07-26 13:38:36","2023-07-26 13:38:36","2","m","30","Graduated","1","0",NULL,NULL
"1739","1",NULL,"free_initiative_ai","2023-07-26 13:39:09","2023-07-26 13:39:09","21","f","20","Student","1","5","2023-11-01 09:57:26.726215","94"
"1741","1",NULL,"free_initiative_ai","2023-07-26 13:39:32","2023-07-26 13:39:32","14","m","21","Student","1","3","2023-10-31 14:20:02.934642","94"
"1757","2","2023-08-27","Golden_Coupon","2023-07-26 13:42:28","2023-07-26 13:42:28","8","f","22","Graduated","1","0",NULL,NULL
"1761","2","2023-08-27","Golden_Coupon","2023-07-26 13:43:10","2023-07-26 13:43:10","18","m","23","Graduated","1","5","2023-11-01 09:57:15.258114","100"
"1767","1",NULL,"free_initiative_ai","2023-07-26 13:44:47","2023-07-26 13:44:47","13","f","23","Graduated","1","3","2023-10-23 09:58:10.005793","94"
"1773","1",NULL,"free_initiative_ai","2023-07-26 13:46:03","2023-07-26 13:46:03","12","f","23","Graduated","1","3","2023-09-19 10:22:50.515159","92"
"1781","1",NULL,"free_initiative_ai","2023-07-26 13:47:30","2023-07-26 13:47:30","16","f","22","Student","1","3","2023-08-27 08:08:37.154297","100"
"1791","1",NULL,"free_initiative_ai","2023-07-26 13:49:47","2023-07-26 13:49:47","15","m","53","Graduated","1","3","2023-09-03 09:18:50.729091","100"
"1810","1",NULL,"free_initiative_ai","2023-07-26 13:54:08","2023-07-26 13:54:08","16","m","21","Student","1","3","2023-10-23 15:39:52.999369","100"
"1819","1",NULL,"free_initiative_ai","2023-07-26 14:06:16","2023-07-26 14:06:16","16","m","19","Student","1","3","2023-08-30 09:58:50.416236","97"
"1822","2","2023-08-27","10k_ai_initiative","2023-07-26 14:07:43","2023-07-26 14:07:43","4","m","42","Graduated","1","1","2023-08-05 12:19:28.674803","85"
"1826","1",NULL,"free_initiative_ai","2023-07-26 14:08:17","2023-07-26 14:08:17","15","m","22","Graduated","1","2","2023-09-03 16:01:42.921461","98"
"1836","1",NULL,"free_initiative_ai","2023-07-26 14:10:08","2023-07-26 14:10:08","15","m","21","Student","1","3","2023-08-30 09:59:48.234909","94"
"1847","2","2023-08-05","10k_ai_initiative","2023-07-26 14:11:40","2023-07-26 14:11:40","7","m","39","Graduated","1","1","2023-08-05 13:55:35.273268","89"
"1851","2","2023-08-26","10k_ai_initiative","2023-07-26 14:12:18","2023-07-26 14:12:18","12","f","30","Graduated","1","2","2023-09-19 11:40:31.149363","94"
"1852","2","2023-08-27","10k_ai_initiative","2023-07-26 14:12:23","2023-07-26 14:12:23","7","m","45","Graduated","1","1","2023-07-30 11:47:56.935177","92"
"1861","2","2023-08-07","Golden_coupon","2023-07-26 14:13:34","2023-07-26 14:13:34","14","m","26","Graduated","1","3","2023-09-19 10:41:34.036237","91"
"1862","2",NULL,"free_initiative_ai","2023-07-26 14:13:43","2023-07-26 14:13:43","21","m","21","Student","1","6","2023-10-23 12:45:39.166231","100"
"1869","1",NULL,"free_initiative_ai","2023-07-26 14:30:06","2023-07-26 14:30:06","11","f","20","Student","1","2","2023-08-31 12:15:45.184890","100"
"1871","1",NULL,"free_initiative_ai","2023-07-26 14:30:20","2023-07-26 14:30:20","20","m","23","Graduated","1","3","2023-09-19 10:32:07.469965","100"
"1873","1",NULL,"free_initiative_ai","2023-07-26 14:30:35","2023-07-26 14:30:35","18","m","18","Student","1","6","2023-10-23 17:15:05.527692","100"
"1880","2","2023-08-27","Golden_Coupon","2023-07-26 14:31:17","2023-07-26 14:31:17","11","m","20","Student","1","1","2023-08-08 20:10:10.888183","94"
"1885","1",NULL,"free_initiative_ai","2023-07-26 14:32:18","2023-07-26 14:32:18","13","f","36","Graduated","1","3","2023-09-19 10:21:08.248693","90"
"1889","2","2023-08-24","10k_ai_initiative","2023-07-26 14:32:48","2023-07-26 14:32:48","10","m","25","Graduated","1","1","2023-08-06 03:47:45.182152","89"
"1899","1",NULL,"free_initiative_ai","2023-07-26 14:34:18","2023-07-26 14:34:18","16","m","23","Graduated","1","4","2023-09-19 09:07:18.285758","97"
"1903","2","2023-08-15","10k_ai_initiative","2023-07-26 14:35:05","2023-07-26 14:35:05","19","m","31","Graduated","1","5","2023-10-25 04:15:21.674356","400"
"1905","1",NULL,"free_ai_initiative","2023-07-26 14:35:48","2023-07-26 14:35:48","1","m","28","Graduated","1","0",NULL,NULL
"1917","1",NULL,"free_initiative_ai","2023-07-26 14:37:44","2023-07-26 14:37:44","12","m","36","Graduated","1","2","2023-08-19 20:06:52.101613","93"
"1927","1",NULL,"free_initiative_ai","2023-07-26 15:52:20","2023-07-26 15:52:20","21","m","18","Student","1","7","2023-09-20 08:09:20.303502","100"
"1931","1",NULL,"free_initiative_ai","2023-07-26 16:59:19","2023-07-26 16:59:19","12","m","22","Student","1","2","2023-08-21 21:21:33.014279","95"
"1934","1",NULL,"free_initiative_ai","2023-07-26 19:32:02","2023-07-26 19:32:02","15","f","21","Graduated","1","2","2023-08-27 07:05:32.954293","95"
"1935","1",NULL,"free_initiative_ai","2023-07-26 19:32:08","2023-07-26 19:32:08","17","f","19","Student","1","5","2023-10-23 15:57:29.025941","100"
"1955","1",NULL,"free_initiative_ai","2023-07-26 19:34:38","2023-07-26 19:34:38","14","m","24","Graduated","1","3","2023-08-27 06:54:38.342284","87"
"1965","1",NULL,"free_initiative_ai","2023-07-26 19:36:02","2023-07-26 19:36:02","18","f","20","Student","1","4","2023-10-25 19:18:21.226347","90"
"1972","2","2023-08-27","10k_ai_initiative","2023-07-26 19:36:41","2023-07-26 19:36:41","14","m","31","Graduated","1","1","2023-08-04 20:37:05.724799","92"
"2004","1",NULL,"free_initiative_ai","2023-07-26 20:44:06","2023-07-26 20:44:06","15","m","21","Student","1","2","2023-09-19 11:25:51.622575","90"
"2006","1",NULL,"free_initiative_ai","2023-07-26 22:06:12","2023-07-26 22:06:12","17","m","19","Student","1","4","2023-10-25 04:10:51.153689","98"
"2008","2","2023-08-26","10k_ai_initiative","2023-07-26 22:06:58","2023-07-26 22:06:58","12","f","22","Graduated","1","0",NULL,NULL
"2018","1","2023-07-27",NULL,"2023-07-27 09:04:23","2023-07-27 09:04:23","3","f","29","Graduated","1","0",NULL,NULL
"2021","2","2023-08-27","free_initiative_ai","2023-07-27 09:35:06","2023-07-27 09:35:06","13","m","26","Graduated","1","3","2023-08-27 04:31:47.141089","97"
"2026","1",NULL,"10k_ai_initiative","2023-07-27 11:17:05","2023-07-27 11:17:05","9","m","24","Graduated","1","1","2023-07-31 12:35:22.600598","70"
"2030","1","2023-07-27",NULL,"2023-07-27 11:34:59","2023-07-27 11:34:59","12","m","25","Graduated","1","1","2023-07-31 21:37:39.724693","100"
"2056","2","2023-08-27","Golden_Coupon","2023-07-27 12:46:29","2023-07-27 12:46:29","20","m","22","Student","1","4","2023-10-25 03:35:54.139070","100"
"2057","1",NULL,"free_initiative_ai","2023-07-27 12:46:35","2023-07-27 12:46:35","19","m","25","Graduated","1","5","2023-10-26 11:36:52.891333","100"
"2063","1",NULL,"free_initiative_ai","2023-07-27 12:47:57","2023-07-27 12:47:57","14","m","19","Student","1","3","2023-09-02 14:17:56.158485","89"
"2067","1",NULL,"free_initiative_ai","2023-07-27 13:01:56","2023-07-27 13:01:56","16","m","22","Student","1","3","2023-10-25 03:10:45.540412","98"
"2071","2","2023-08-27","10k_ai_initiative","2023-07-27 13:03:03","2023-07-27 13:03:03","12","m","27","Graduated","1","1","2023-08-03 18:04:42.611263","94"
"2079","1",NULL,"free_initiative_ai","2023-07-27 13:04:53","2023-07-27 13:04:53","18","m","21","Student","1","3","2023-10-29 10:59:55.191109","100"
"2083","1",NULL,"free_initiative_ai","2023-07-27 13:06:03","2023-07-27 13:06:03","15","m","20","Student","1","3","2023-10-31 14:16:15.827104","90"
"2091","2","2023-08-01","10k_ai_initiative","2023-07-27 13:07:38","2023-07-27 13:07:38","1","m","34","Graduated","1","0",NULL,NULL
"2136","2","2023-08-27","10k_ai_initiative","2023-07-27 20:21:01","2023-07-27 20:21:01","3","f","14","Student","1","0",NULL,NULL
"2143","1","2023-07-27",NULL,"2023-07-27 21:17:28","2023-07-27 21:17:28","3","m","27","Graduated","1","1","2023-08-06 15:53:30.796599","92"
"2152","1","2023-07-28",NULL,"2023-07-27 23:51:15","2023-07-27 23:51:15","3","m","19","Student","1","0",NULL,NULL
"2184","1",NULL,"free_initiative_ai","2023-07-28 09:17:48","2023-07-28 09:17:48","17","m","23","Student","1","5","2023-10-23 14:14:30.124549","91"
"2191","1",NULL,"free_initiative_ai","2023-07-28 09:18:58","2023-07-28 09:18:58","14","m","17","Student","1","2","2023-08-31 03:44:13.323559","97"
"2194","1",NULL,"free_initiative_ai","2023-07-28 09:21:28","2023-07-28 09:21:28","13","m","35","Graduated","1","2","2023-09-19 10:32:54.042523","93"
"2199","1",NULL,"free_initiative_ai","2023-07-28 09:22:52","2023-07-28 09:22:52","12","f","24","Graduated","1","3","2023-09-03 09:22:59.609203","97"
